KÛd;⁄zemn· jednotka;bez ukonËenÈho vzdelania ñ osoby vo veku 0-14 rokov (abs.);z·kladnÈ vzdelanie (abs.);strednÈ odbornÈ (uËÚovskÈ) vzdelanie (bez maturity) (abs.);˙plnÈ strednÈ vzdelanie (s maturitou) (abs.);vyööie odbornÈ vzdelanie (abs.);vysokoökolskÈ vzdelanie (abs.);bez ökolskÈho vzdelania ñ osoby vo veku 15 rokov a viac (abs.);nezistenÈ (abs.)
SK0226546640;Doln˝ Lieskov;86;148;212;214;29;102;16;13
SK0226557480;Slopn·;40;105;147;114;21;46;1;10
SK0226557510;HatnÈ;78;94;155;168;37;91;3;10
SK0226557552;Klieötina;34;52;99;104;9;42;0;6
SK0226557561;»elkova Lehota;15;24;45;43;9;12;0;0
SK0226557579;MalÈ Lednice;45;69;146;143;30;42;1;4
SK0226557595;S·doËnÈ;9;35;40;45;4;20;2;0
SK0226557609;œurÔovÈ;11;18;63;33;8;9;0;0
SK0226557633;Bodin·;42;66;137;147;18;74;1;8
SK0226558222;PoËarov·;10;27;39;50;10;12;1;0
SK0226580856;Horn˝ Lieskov;57;57;95;123;26;72;0;4
SK0226580864;Podskalie;14;19;31;35;4;20;0;2
SK0227513881;Prievidza;3912;5778;9806;12355;2635;7753;100;2678
SK0227513903;Bojnice;463;492;746;1357;309;1402;10;199
SK0227513911;BystriËany;145;325;518;498;67;208;2;22
SK0227513920;Cigeæ;128;209;346;311;54;191;4;28
SK0227513938;»avoj;37;79;172;112;21;55;1;11
SK0227513946;»ereÚany;177;298;559;423;84;164;5;44
SK0227513954;Diviacka Nov· Ves;175;250;466;501;90;281;2;25
SK0227513962;Diviaky nad Nitricou;174;242;498;497;68;250;1;31
SK0227513971;DlûÌn;10;23;47;51;6;22;0;6
SK0227513989;DolnÈ Vestenice;249;378;742;668;113;288;10;47
SK0227513997;Handlov·;1496;2973;4382;3647;831;1539;30;1301
SK0227514004;Horn· Ves (Okres Prievidza);130;225;320;240;50;81;0;26
SK0227514012;HornÈ Vestenice;54;93;195;180;23;72;0;12
SK0227514021;Chrenovec-Brusno;127;222;392;357;86;183;2;22
SK0227514039;Chvojnica (Okres Prievidza);20;57;82;42;10;22;4;5
SK0227514063;Kamenec pod Vt·Ënikom;158;254;464;523;78;225;3;39
SK0227514071;Kanianka;362;525;958;1104;207;709;8;101
SK0227514080;KæaËno;107;212;358;227;50;86;3;26
SK0227514098;Kocurany;56;76;157;136;19;65;2;12
SK0227514101;Kostoln· Ves;60;60;135;154;25;61;1;14
SK0227514110;Koö;75;205;309;260;41;98;1;52
SK0227514128;Lazany;182;230;424;472;101;272;4;50
SK0227514136;Lehota pod Vt·Ënikom;376;609;1085;967;199;441;5;133
SK0227514144;Lieöùany;115;192;367;317;47;136;2;28
SK0227514179;Mal· »ausa;81;92;185;195;34;89;1;22
SK0227514187;Malinov·;112;197;313;200;36;99;0;15
SK0227514209;Nedoûery-Brezany;203;292;468;614;107;384;1;36
SK0227514217;Nevidzany (Okres Prievidza);33;51;82;87;14;33;0;4
SK0227514225;Nitrianske Pravno;288;550;828;863;164;367;13;90
SK0227514233;Nitrianske Rudno;198;241;482;573;84;300;5;42
SK0227514241;Nitrianske SuËany;130;160;285;334;49;214;1;15
SK0227514250;Nitrica;102;182;312;337;63;162;1;23
