KÛd;⁄zemn· jednotka;bez ukonËenÈho vzdelania ñ osoby vo veku 0-14 rokov (abs.);z·kladnÈ vzdelanie (abs.);strednÈ odbornÈ (uËÚovskÈ) vzdelanie (bez maturity) (abs.);˙plnÈ strednÈ vzdelanie (s maturitou) (abs.);vyööie odbornÈ vzdelanie (abs.);vysokoökolskÈ vzdelanie (abs.);bez ökolskÈho vzdelania ñ osoby vo veku 15 rokov a viac (abs.);nezistenÈ (abs.)
SK0327511684;OzdÌn;19;60;85;72;15;35;0;2
SK0327511765;Polt·r;490;1006;1285;1467;259;551;18;257
SK0327511820;RovÚany;26;49;63;65;15;22;0;6
SK0327511889;äolt˝ska;1;29;25;19;0;5;1;6
SK0327511978;UhorskÈ;41;146;159;109;11;42;1;6
SK0327512001;Veæk· Ves;45;56;88;139;22;62;0;12
SK0327514900;HrnËiarska Ves;138;288;237;176;33;46;4;43
SK0327514918;HrnËiarske Zaluûany;77;129;191;260;35;128;0;12
SK0327515515;Selce (Okres Polt·r);16;33;33;19;5;4;0;3
SK0327515591;Suöany;49;70;111;111;27;44;0;6
SK0327557323;œub·kovo;2;14;23;19;3;13;0;5
SK0327580317;Utek·Ë;54;212;226;250;35;61;3;37
SK0327582051;Zlatno (Okres Polt·r);53;151;121;67;11;17;5;30
SK0328514675;Drûkovce;97;273;90;58;18;35;1;19
SK0328514721;Gemer;105;291;257;164;31;43;2;6
SK0328514756;Gemersk· Ves;178;464;176;111;24;24;4;20
SK0328514896;Hrlica;6;12;29;6;1;2;0;0
SK0328514977;Chvalov·;45;73;33;25;8;10;0;0
SK0328515159;Levkuöka;27;87;70;35;5;8;2;5
SK0328515256;OtroËok;53;119;96;46;9;8;1;0
SK0328515302;PloskÈ (Okres Rev˙ca);9;28;18;7;5;0;3;1
SK0328515311;Polina;9;29;23;21;2;3;1;1
SK0328515361;Raöice;11;25;40;30;2;8;0;1
SK0328515370;Ratkov·;131;252;116;51;15;18;6;33
SK0328515400;RatkovskÈ BystrÈ;19;79;99;63;10;27;1;6
SK0328515507;RybnÌk (Okres Rev˙ca);25;73;35;13;2;6;0;4
SK0328515523;Skereöovo;31;79;43;38;5;15;1;4
SK0328515574;Lev·re;4;24;23;22;4;1;0;2
SK0328515612;Tornaæa;692;1565;1442;1712;407;795;14;344
SK0328515761;ViöÚovÈ (Okres Rev˙ca);2;24;11;13;3;6;0;0
SK0328515833;éiar (Okres Rev˙ca);7;42;35;22;2;3;0;0
SK0328525677;GemerskÈ Teplice;39;105;91;68;13;26;1;22
SK0328525685;Gemersk˝ Sad;39;105;65;45;4;33;0;8
SK0328525766;HucÌn;151;488;126;89;22;33;3;27
SK0328525774;ChyûnÈ;36;93;103;97;15;44;2;12
SK0328525791;Jelöava;496;1089;638;470;71;124;19;302
SK0328525812;KameÚany;149;442;137;61;13;12;3;25
SK0328525901;Licince;169;421;106;54;7;23;6;9
SK0328525928;LubenÌk;125;366;323;260;37;70;23;53
SK0328525944;Magnezitovce;55;176;101;80;9;24;4;6
SK0328525987;Mur·Ú;178;388;231;211;53;145;4;26
SK0328525995;Mur·nska Dlh· L˙ka;134;343;136;137;33;87;12;36
SK0328526002;Mur·nska Huta;13;28;55;48;5;24;0;5
SK0328526011;Mur·nska Lehota;14;33;64;57;11;19;0;1
SK0328526029;Mur·nska Zdychava;28;80;56;44;13;6;0;1
SK0328526037;Nandraû;60;123;44;24;6;6;2;9
SK0328526100;Prihradzany;3;21;19;20;2;6;0;2
SK0328526118;R·koö (Okres Rev˙ca);57;132;112;80;12;9;3;4
SK0328526142;Rev˙ca;1044;1979;2316;2998;554;1868;32;693
SK0328526151;Rev˙cka Lehota;30;30;50;101;21;74;1;3
SK0328526258;Sirk;298;532;213;162;30;28;17;34
SK0328526304;äivetice;58;185;72;24;3;11;2;5
SK0328526321;TurËok;64;99;63;33;7;9;4;8
SK0328557820;S·sa (Okres Rev˙ca);57;105;11;2;4;1;2;4
SK0328580384;Mokr· L˙ka;57;84;90;142;23;115;0;29
SK0329514462;Rimavsk· Sobota;2117;3834;3316;6179;1244;3714;40;1604
SK0329514489;Babinec;4;12;10;29;0;4;0;1
SK0329514501;Barca;149;347;74;9;7;4;0;6
SK0329514519;B·tka;88;240;200;204;38;60;3;16
SK0329514535;BelÌn;32;69;31;36;3;4;0;4
SK0329514543;Blhovce;112;255;199;129;32;36;1;16
SK0329514551;Bottovo;19;39;45;67;10;10;1;6
SK0329514586;Budikovany;11;18;8;15;1;5;1;3
SK0329514594;Cakov;80;181;45;20;3;2;3;23
SK0329514608;»erenËany;42;78;93;165;28;119;1;22
SK0329514616;»ierny Potok;10;23;45;37;6;20;0;0
SK0329514624;»Ìû;83;223;141;126;32;60;2;19
SK0329514632;DolnÈ Zahorany;15;40;53;49;6;19;0;6
SK0329514641;Draûice;43;108;51;29;3;7;0;13
SK0329514659;DrienËany;16;62;31;72;13;22;0;4
SK0329514667;DrÚa;35;98;39;27;4;3;1;8
SK0329514683;Dubno;14;44;33;31;4;17;1;6
SK0329514691;Dubovec;60;178;111;84;19;24;2;28
SK0329514713;Figa;70;189;93;59;6;6;2;17
SK0329514730;GemerËek;14;23;20;27;6;5;1;0
SK0329514764;GemerskÈ Decht·re;47;126;117;66;21;23;1;10
SK0329514781;Gemersk˝ Jablonec;91;189;192;157;24;55;2;9
SK0329514799;Gortva;66;226;85;46;11;10;1;33
SK0329514811;Hajn·Ëka;120;356;259;276;45;59;4;20
SK0329514829;Hn˙öùa;761;1476;1344;1660;291;667;21;542
SK0329514837;Hodejov;248;746;232;168;38;39;18;45
SK0329514845;Hodejovec;12;47;57;30;8;13;0;5
SK0329514853;HornÈ Zahorany;10;23;27;28;6;18;0;1
SK0329514861;Hostice;214;514;162;97;14;25;8;16
SK0329514870;Hostiöovce;37;141;28;10;2;5;3;3
SK0329514888;Hrachovo;81;128;171;264;43;98;2;12
SK0329514926;Hruöovo;9;39;57;46;8;11;0;2
SK0329514934;Hubovo;14;37;27;20;12;16;1;1
SK0329514942;Husin·;88;226;100;77;7;19;3;16
SK0329514951;Chanava;76;265;174;120;27;38;3;6
SK0329514969;Chr·mec;91;230;65;40;7;10;7;8
SK0329514985;Ivanice;75;99;39;27;8;9;3;17
SK0329514993;Janice;94;148;22;18;2;7;0;5
SK0329515001;JesenskÈ (Okres Rimavsk· Sobota);287;670;442;437;95;199;7;198
SK0329515019;Jestice;15;53;38;26;5;9;0;1
SK0329515027;Kaloöa;188;427;86;48;10;13;8;38
SK0329515035;Kesovce;64;179;19;4;0;0;1;4
SK0329515043;Klenovec;332;943;577;711;118;269;10;66
SK0329515051;Kociha;21;52;70;45;7;8;1;1
SK0329515060;Konr·dovce;50;123;71;54;8;3;5;9
SK0329515078;Kr·æ;118;359;228;148;28;40;3;8
SK0329515086;Kraskovo;18;41;35;28;5;4;0;2
SK0329515094;Krokava;0;5;8;7;1;1;0;1
SK0329515108;Kruûno;30;64;85;103;20;38;0;7
SK0329515116;Kyjatice;3;15;20;14;2;6;0;5
SK0329515124;Lehota nad Rimavicou;20;38;78;83;8;34;3;13
SK0329515132;Lenartovce;89;252;102;61;15;17;1;5
SK0329515141;Lenka;20;30;52;65;17;16;0;0
SK0329515167;Lipovec (Okres Rimavsk· Sobota);28;47;5;3;1;3;1;2
SK0329515175;Lukoviötia;5;35;39;47;12;21;0;4
SK0329515183;Martinov·;35;93;51;29;3;1;3;8
SK0329515205;Neporadza (Okres Rimavsk· Sobota);36;129;66;31;2;3;14;5
SK0329515230;Nov· Baöta;43;158;116;92;19;38;7;10
SK0329515248;Or·vka;18;35;30;53;6;14;0;5
SK0329515264;OûÔany;216;344;395;385;72;151;4;57
SK0329515272;Padarovce;17;63;17;35;4;9;2;2
SK0329515281;Pavlovce (Okres Rimavsk· Sobota);83;183;94;31;4;5;2;4
SK0329515299;Petrovce (Okres Rimavsk· Sobota);15;44;50;58;16;18;0;7
SK0329515337;PoproË (Okres Rimavsk· Sobota);0;6;10;4;2;1;0;0
SK0329515345;Potok (Okres Rimavsk· Sobota);3;6;4;5;0;3;0;0
SK0329515353;Radnovce;212;628;98;27;5;3;11;6
SK0329515388;Ratkovsk· Lehota;3;9;10;11;5;7;0;0
SK0329515396;Ratkovsk· Such·;4;8;7;14;2;5;0;2
SK0329515426;Rimavsk· BaÚa;80;132;130;107;23;40;1;15
SK0329515442;Rimavsk· SeË;492;1122;212;173;35;81;9;24
SK0329515451;RimavskÈ Brezovo;53;125;128;126;24;34;1;13
SK0329515469;RimavskÈ Janovce;147;419;363;252;52;120;3;17
SK0329515485;RovnÈ (Okres Rimavsk· Sobota);19;32;26;24;2;8;1;6
SK0329515493;Rumince;38;114;94;77;15;20;1;7
SK0329515531;SlizkÈ;63;147;19;10;0;3;0;0
SK0329515540;Star· Baöta;25;68;100;61;17;32;1;4
SK0329515566;Str·nska;34;123;92;58;9;13;3;9
SK0329515582;Studen·;34;117;61;43;5;10;2;1
SK0329515604;S˙tor;170;441;19;9;2;0;4;4
SK0329515621;äimonovce;91;227;104;86;13;20;2;3
SK0329515639;äirkovce;174;387;164;130;25;32;6;39
SK0329515647;äpanie Pole;9;34;18;8;2;4;1;0
SK0329515655;ätrkovec;61;95;82;89;15;30;0;8
SK0329515663;Tachty;65;177;119;110;30;35;2;10
SK0329515671;Tepl˝ Vrch;34;54;43;86;14;56;2;3
SK0329515680;Tisovec;333;718;795;1138;149;400;17;170
SK0329515698;Tom·öovce (Okres Rimavsk· Sobota);29;81;49;31;5;7;1;2
SK0329515701;Uzovsk· Panica;206;375;81;69;14;28;4;39
SK0329515710;VËelince;105;207;173;154;34;57;4;55
SK0329515728;VeËelkov;13;64;57;60;15;18;1;3
SK0329515736;VeækÈ Teriakovce;111;186;282;171;36;66;1;12
SK0329515744;Veæk˝ Blh;128;464;225;168;29;72;36;11
SK0329515752;Vieska nad Blhom;36;94;23;17;2;3;0;1
SK0329515779;VlkyÚa;93;192;54;33;5;10;0;2
SK0329515795;Valice;63;139;54;46;4;6;1;6
SK0329515809;Vyön˝ Sk·lnik;13;26;23;42;7;25;0;0
SK0329515817;Z·dor;24;44;24;20;4;8;0;11
SK0329515841;éÌp;88;125;39;15;5;4;1;4
SK0329557757;Abovce;76;223;172;102;25;20;2;7
SK0329557765;RieËka (Okres Rimavsk· Sobota);25;67;61;32;9;12;1;11
SK0329557790;Niûn˝ Sk·lnik;20;31;43;67;5;23;1;3
SK0329557811;RimavskÈ Zaluûany;45;51;82;104;22;33;1;12
SK0329557854;RakytnÌk;90;114;39;27;8;11;27;13
SK0329557889;GemerskÈ Michalovce;7;20;28;21;5;6;0;1
SK0329557901;VyönÈ Valice;35;84;62;43;4;11;1;19
SK0329557919;Dulovo;74;145;14;5;0;1;13;2
SK0329557927;Zacharovce;44;138;102;72;9;14;4;7
SK032A515850;Veæk˝ KrtÌö;966;1770;2174;2984;543;1681;41;869
SK032A515868;Balog nad Ipæom;53;136;192;228;44;117;4;7
SK032A515876;B·torov·;31;80;107;96;12;21;0;6
SK032A515884;BrusnÌk;13;38;36;18;6;3;0;0
SK032A515892;Buöince;163;389;410;282;52;75;5;28
SK032A515906;»ebovce;90;171;267;311;67;124;2;12
SK032A515914;»el·re;52;148;134;86;19;15;6;20
SK032A515922;»elovce (Okres Veæk˝ KrtÌö);72;183;91;48;7;16;6;8
SK032A515931;»erveÚany;6;7;7;8;1;1;2;2
SK032A515949;DaËov Lom;45;98;94;92;19;37;1;15
SK032A515957;Dolinka;37;86;129;147;19;44;5;3
SK032A515965;Doln· Strehov·;111;162;273;273;32;143;4;15
SK032A515973;DolnÈ Plachtince;69;106;115;166;23;81;1;42
SK032A515981;DolnÈ Strh·re;27;59;43;34;13;13;0;9
SK032A515990;œurkovce;14;37;44;20;8;0;0;3
SK032A516007;Glabuöovce;12;33;29;20;7;9;1;2
SK032A516015;Horn· Strehov·;20;20;40;52;3;15;2;1
SK032A516023;HornÈ Plachtince;24;42;48;63;9;22;1;1
SK032A516031;HornÈ Strh·re;23;82;75;50;9;11;0;4
SK032A516040;Hruöov (Okres Veæk˝ KrtÌö);88;275;194;142;28;72;3;22
SK032A516058;Chrastince;23;67;54;31;6;15;0;12
SK032A516066;Chrùany;11;38;30;20;2;5;1;0
SK032A516074;IpeæskÈ Predmostie;56;145;148;139;30;45;1;14
SK032A516082;KamennÈ Kosihy;22;65;110;109;16;26;0;3
SK032A516091;Kiarov;20;65;90;62;11;25;0;0
SK032A516104;KleÚany;21;56;75;58;45;11;0;12
SK032A516112;Kol·re;8;56;93;55;11;14;1;5
SK032A516121;Kosihovce;64;191;116;129;23;33;1;2
SK032A516139;Kosihy nad Ipæom;25;90;122;95;23;37;0;13
SK032A516147;Kov·Ëovce;25;70;93;84;14;21;2;9
SK032A516155;Lesenice;36;115;137;122;16;47;4;10
SK032A516163;ºuborieËka;11;33;47;29;6;15;0;3
SK032A516171;Mal· »alomija;13;36;54;55;8;22;0;5
SK032A516198;MalÈ Zlievce;28;70;72;86;11;24;0;3
SK032A516210;Modr˝ KameÚ;180;362;341;408;49;227;4;49
SK032A516228;Muæa;87;174;58;20;1;7;1;11
SK032A516236;Nenince;107;256;376;347;79;122;2;29
SK032A516244;Nov· Ves;50;126;112;83;26;30;3;11
SK032A516252;Obeckov;35;116;128;94;14;40;3;14
SK032A516261;Olov·ry;8;57;74;78;12;29;0;2
SK032A516279;Opatovsk· Nov· Ves;63;133;171;161;32;49;2;26
SK032A516287;Opava;12;31;23;21;11;6;0;6
SK032A516295;PÙtor;62;188;254;174;26;48;1;6
SK032A516309;Pravica;12;67;25;5;6;3;0;0
SK032A516317;PrÌbelce;50;104;132;134;27;103;3;5
SK032A516333;SeËianky;26;86;106;65;19;24;2;7
SK032A516341;Seæany;9;36;54;42;7;12;0;2
SK032A516368;SennÈ (Okres Veæk˝ KrtÌö);13;45;56;59;4;11;0;2
SK032A516376;Sklabin·;113;249;217;201;27;81;3;40
SK032A516384;SlovenskÈ œarmoty;55;113;145;112;19;28;5;43
SK032A516392;SlovenskÈ KæaËany;22;44;48;38;5;12;1;0
SK032A516406;StrednÈ Plachtince;56;168;149;142;22;52;4;9
SK032A516414;Such·Ú;41;95;65;46;7;8;1;1
SK032A516422;SuchÈ Brezovo;8;20;26;28;4;6;0;2
SK032A516431;äir·kov;8;50;61;49;7;14;0;1
SK032A516449;äuæa;12;26;20;11;0;2;3;0
SK032A516457;Trebuöovce;5;35;47;52;14;14;0;2
SK032A516465;Veæk· »alomija;56;96;153;142;39;69;1;12
SK032A516473;Veæk· Ves nad Ipæom;42;89;108;108;15;35;0;8
SK032A516490;VeækÈ Zlievce;67;197;115;75;10;24;6;4
SK032A516503;Veæk˝ Lom;8;48;28;32;8;8;0;6
SK032A516511;Vieska (Okres Veæk˝ KrtÌö);18;70;40;37;10;20;1;1
SK032A516520;Vinica;175;264;490;501;81;228;2;53
SK032A516538;Vrbovka;17;67;99;87;17;37;1;4
SK032A516546;Z·horce;65;96;220;168;31;77;1;11
SK032A516554;Z·vada (Okres Veæk˝ KrtÌö);43;68;91;132;29;49;1;27
SK032A516562;Zombor;26;70;19;18;2;7;2;4
SK032A516571;éelovce;103;225;345;343;60;116;0;14
SK032A558192;Mal˝ KrtÌö;43;96;115;136;25;68;0;7
SK032A558206;MalÈ Straciny;18;43;32;39;5;11;0;3
SK032A558214;VeækÈ Straciny;17;54;27;39;10;20;0;1
SK032B518158;Zvolen;3863;5173;5928;11576;1935;9989;64;2109
SK032B518166;Babin·;55;84;124;153;23;77;2;11
SK032B518174;Bac˙rov;14;21;29;50;6;36;1;1
SK032B518191;Breziny;36;112;87;84;10;28;1;13
SK032B518204;BudËa;149;224;271;333;50;283;6;24
SK032B518221;Bzovsk· LehÙtka;22;17;30;37;7;15;0;4
SK032B518298;Dobr· Niva;191;261;396;557;97;330;4;26
SK032B518361;DubovÈ (Okres Zvolen);39;54;67;92;9;50;0;9
SK032B518476;Hronsk· Breznica;25;53;74;69;11;16;1;9
SK032B518506;Kov·Ëov· (Okres Zvolen);147;168;233;452;96;417;4;35
SK032B518581;Leöù (vojensk˝ obvod);2;5;10;9;0;0;0;5
SK032B518654;Michalkov·;3;9;12;6;1;5;0;1
SK032B518662;OËov·;258;401;513;751;106;454;6;45
SK032B518671;Ostr· L˙ka;32;54;59;75;18;58;0;9
SK032B518689;Plieöovce;222;362;483;648;103;389;1;52
SK032B518697;Podz·mËok;65;89;94;152;26;112;0;4
SK032B518727;S·sa (Okres Zvolen);77;165;206;253;30;129;3;24
SK032B518760;Sielnica;168;351;308;342;42;168;1;18
SK032B518808;SliaË;478;558;615;1453;254;1438;6;92
SK032B518875;T‡nie;47;59;76;101;20;89;2;9
SK032B518891;Turov·;51;57;86;139;22;90;0;1
SK032B518972;Zvolensk· Slatina;315;508;468;833;106;493;6;73
SK032B518981;éelezn· Breznica;64;79;124;165;27;89;0;6
SK032B558087;Lukavica (Okres Zvolen);47;28;34;65;9;70;1;7
SK032B558133;Lieskovec (Okres Zvolen);152;250;251;373;65;292;5;21
SK032B581585;Veæk· L˙ka;127;137;120;204;27;192;2;19
SK032C516759;Hodruöa-H·mre;204;386;465;601;92;234;5;89
SK032C516805;HornÈ H·mre;68;102;138;186;40;100;1;23
SK032C516813;HrabiËov;62;106;128;163;39;60;2;8
SK032C516830;Hronsk˝ BeÚadik;81;173;321;314;66;148;2;17
SK032C516902;Kæak;3;27;64;62;8;14;0;2
SK032C517062;Mal· Lehota;61;194;258;188;31;59;2;21
SK032C517097;Nov· BaÚa;730;925;1271;1941;411;1495;21;213
SK032C517119;Ostr˝ Gr˙Ú;68;102;133;135;22;59;1;19
SK032C517127;PÌla (Okres éarnovica);22;54;30;10;3;4;0;2
SK032C517232;Rudno nad Hronom;65;84;131;140;32;59;1;26
SK032C517291;Tekovsk· Breznica;122;164;316;356;54;180;1;20
SK032C517330;Veæk· Lehota;85;191;312;271;49;129;4;28
SK032C517348;VeækÈ Pole;30;129;142;70;16;18;10;6
SK032C517356;Voznica;56;119;137;209;23;77;1;11
SK032C517381;éarnovica;551;976;1203;1640;315;863;11;271
SK032C517399;éupkov;99;174;191;214;46;95;1;56
SK032C580546;Orovnica;45;98;158;156;26;56;2;2
SK032C581607;Brehy;93;161;295;300;43;115;3;20
SK032D516589;éiar nad Hronom;1716;2531;3282;4839;884;2951;49;1326
SK032D516660;Bartoöova LehÙtka;33;51;98;93;27;39;0;13
SK032D516708;Bzenica;59;93;174;167;28;80;2;11
SK032D516724;Doln· Trn·vka;37;35;67;103;29;55;0;6
SK032D516732;Doln· Ves;20;42;63;50;16;20;3;6
SK032D516741;Doln· édaÚa;88;140;187;244;43;103;4;39
SK032D516767;HlinÌk nad Hronom;241;396;557;796;170;427;5;133
SK032D516791;Horn· édaÚa;61;111;114;147;15;78;6;12
SK032D516821;Hronsk· D˙brava;55;51;98;120;15;55;3;20
SK032D516848;Ihr·Ë;47;94;147;130;29;47;1;4
SK032D516872;Janova Lehota;98;176;239;240;39;103;2;42
SK032D516881;Jastrab·;74;87;143;139;22;74;2;21
SK032D516937;Kopernica;30;77;133;81;16;40;3;17
SK032D516945;KosorÌn;54;66;121;132;30;55;2;16
SK032D516961;Krahule;28;42;69;62;18;37;1;2
SK032D516970;Kremnica;424;703;968;1414;309;906;11;199
SK032D516988;KremnickÈ Bane;35;49;65;54;18;27;1;6
SK032D516996;Kuneöov;18;42;64;40;10;14;0;13
SK032D517011;LehÙtka pod Brehmi;56;61;103;90;15;57;0;14
SK032D517020;LovËa;65;81;162;215;33;99;2;12
SK032D517038;LovËica-TrubÌn;160;235;345;474;104;224;3;29
SK032D517046;L˙Ëky (Okres éiar nad Hronom);21;29;59;52;14;16;0;1
SK032D517089;NevoænÈ;35;74;100;108;22;64;0;2
SK032D517135;Pitelov·;53;75;164;189;23;106;5;16
SK032D517186;Prestavlky;69;118;174;202;23;74;1;18
SK032D517194;Prochot;37;92;198;140;22;74;1;3
SK032D517216;Repiöte;26;29;88;82;16;33;0;2
SK032D517241;SklenÈ Teplice;18;33;103;131;26;63;1;5
SK032D517259;Slask·;53;86;100;157;23;73;0;19
SK032D517267;Star· KremniËka;149;260;257;253;43;126;5;38
SK032D517313;Trnav· Hora;133;220;286;336;59;173;2;29
SK032D517364;Vyhne;95;165;278;339;62;149;1;60
SK032D581747;Horn· Ves (Okres éiar nad Hronom);60;76;117;231;40;130;2;19
SK032D599328;Ladomersk· Vieska;58;115;192;225;40;125;15;22
SK032D599336;Lutila;168;147;245;394;104;341;1;25
SK0411518964;Vaniökovce;45;60;92;88;18;48;2;2
SK0411519006;Bardejov;3079;4724;5357;8592;1675;5913;92;1408
SK0411519014;Abrah·movce (Okres Bardejov);33;67;106;81;17;32;0;1
SK0411519022;Andrejov·;33;102;67;77;17;46;3;5
SK0411519049;Bartoöovce;93;103;158;211;29;134;1;9
SK0411519057;Becherov;22;56;61;75;11;49;1;5
SK0411519065;Beloveûa;79;169;191;190;30;103;2;11
SK0411519073;Bogliarka;5;17;28;29;4;17;1;2
SK0411519081;Brezov;22;68;103;84;15;68;0;9
SK0411519090;Brezovka;10;22;24;35;3;7;0;3
SK0411519103;Buclovany;17;30;42;67;17;32;0;2
SK0411519111;Cigeæka;162;293;85;31;2;10;4;0
SK0411519138;DubinnÈ;30;58;93;84;20;51;0;3
SK0411519154;FriËka;65;162;48;32;6;10;3;4
SK0411519162;FriËkovce;87;124;134;193;38;129;1;25
SK0411519171;Gaboltov;55;51;130;131;33;85;1;6
SK0411519189;Gerlachov (Okres Bardejov);162;292;234;212;31;107;5;13
SK0411519201;Hankovce (Okres Bardejov);56;73;132;121;20;46;0;3
SK0411519219;Harhaj;31;51;77;67;14;20;2;2
SK0411519227;HaûlÌn;68;174;281;300;59;171;2;23
SK0411519235;HertnÌk;116;142;224;296;56;152;28;5
SK0411519243;Hervartov;57;78;139;143;26;70;2;1
SK0411519251;Hrabovec;54;90;124;142;27;67;1;5
SK0411519260;HrabskÈ;131;275;95;72;13;41;6;9
SK0411519278;Hutka;9;13;18;30;4;21;0;1
SK0411519286;Chmeæov·;31;51;79;124;27;51;0;6
SK0411519294;Janovce;72;72;117;125;22;49;0;8
SK0411519308;Jedlinka;8;14;16;21;2;18;0;1
SK0411519324;Kæuöov;120;167;219;327;60;164;2;22
SK0411519341;Kobyly;97;127;179;253;40;146;3;11
SK0411519359;Kochanovce (Okres Bardejov);34;35;67;76;19;41;0;0
SK0411519367;Kom·rov;47;53;114;132;28;73;1;7
SK0411519375;Koprivnica;74;102;209;158;47;54;2;6
SK0411519383;Koûany;11;14;25;32;5;4;2;11
SK0411519405;KrivÈ;28;32;70;36;16;27;0;3
SK0411519413;KrÌûe;2;11;25;18;2;6;0;0
SK0411519421;Kruûlov;95;162;258;278;42;149;1;12
SK0411519430;KuËÌn (Okres Bardejov);27;67;102;78;17;28;2;2
SK0411519456;Kurima;147;219;254;279;56;117;1;22
SK0411519464;Kurov;135;206;101;126;25;77;4;2
SK0411519472;Lascov;89;189;155;77;13;49;1;10
SK0411519481;Lenartov;291;505;153;110;27;52;12;20
SK0411519499;Lipov· (Okres Bardejov);6;21;22;17;0;2;0;2
SK0411519502;Livov;1;10;20;18;4;7;0;2
SK0411519511;Livovsk· Huta;2;15;8;12;2;5;1;0
SK0411519529;Lop˙chov;30;69;91;70;15;31;0;5
SK0411519545;Lukavica (Okres Bardejov);39;63;113;95;20;42;1;1
SK0411519553;Lukov;133;236;98;101;15;61;4;4
SK0411519570;Malcov;286;454;281;317;46;186;3;31
SK0411519588;MarhaÚ;140;229;213;211;40;85;12;22
SK0411519600;Mikul·öov·;7;13;33;36;9;22;0;2
SK0411519618;Mokroluh;73;110;176;237;41;123;0;11
SK0411519626;Nemcovce (Okres Bardejov);30;58;75;57;9;32;0;0
SK0411519634;Niûn· Polianka;12;40;54;63;10;39;2;1
SK0411519642;Niûn· Voæa;30;63;72;60;18;23;1;7
SK0411519669;Niûn˝ Tvaroûec;116;194;84;76;11;38;5;15
SK0411519677;Oæöavce;9;34;47;38;14;17;1;5
SK0411519685;Ondavka;1;1;2;10;0;1;0;0
SK0411519693;Ortuùov·;34;36;53;40;9;17;1;2
SK0411519707;Osikov;127;170;231;249;65;142;3;2
SK0411519715;Petrov·;246;533;73;33;9;24;10;15
SK0411519723;Poliakovce;50;83;82;91;17;48;0;8
SK0411519731;Por˙bka (Okres Bardejov);20;33;68;51;11;29;1;10
SK0411519740;Regetovka;3;9;8;7;2;16;0;1
SK0411519758;Reöov;29;56;95;75;11;27;1;9
SK0411519766;Richvald;117;153;286;265;55;106;4;10
SK0411519774;Rokytov;82;144;107;115;23;69;5;7
SK0411519782;Smilno;56;104;178;204;38;93;0;5
SK0411519791;Snakov;104;237;131;113;21;56;5;8
SK0411519804;StebnÌcka Huta;14;33;67;61;8;18;0;3
SK0411519812;StebnÌk;22;38;72;112;15;46;0;0
SK0411519821;Stuæany;67;81;160;149;30;61;0;5
SK0411519839;Sverûov;103;140;114;148;20;90;1;1
SK0411519847;äariöskÈ »ierne;34;72;66;66;15;45;0;2
SK0411519855;äaöov·;27;39;45;24;7;22;0;0
SK0411519863;äiba;104;104;137;153;35;86;1;13
SK0411519871;Tarnov;54;40;72;122;16;91;3;6
SK0411519880;TroËany;26;39;62;81;15;58;1;2
SK0411519901;Varadka;45;101;57;18;2;11;1;13
SK0411519910;Vyön· Polianka;2;20;32;36;4;12;0;3
SK0411519928;Vyön· Voæa;34;92;126;85;18;35;0;3
SK0411519936;Raslavice;411;643;546;695;109;378;2;8
SK0411519944;Vyön˝ KruËov;11;23;38;54;4;19;1;1
SK0411519952;Vyön˝ Tvaroûec;14;25;26;32;7;17;0;0
SK0411519961;Zborov;725;1356;497;541;99;230;32;53
SK0411519979;ZlatÈ;74;120;198;225;38;102;0;7
SK0412518638;Valaökovce (vojensk˝ obvod);0;0;0;0;0;0;0;0
SK0412520004;HumennÈ;2772;4132;5122;9296;1632;6425;56;1924
SK0412520012;Adidovce;29;40;59;59;8;25;0;7
SK0412520021;Baökovce (Okres HumennÈ);34;69;93;140;14;52;0;1
SK0412520055;Brekov;159;284;318;345;55;150;0;21
SK0412520063;Brestov (Okres HumennÈ);55;79;115;197;44;101;1;3
SK0412520110;»ernina;16;30;45;45;6;10;0;2
SK0412520152;DedaËov;14;27;53;38;9;11;2;5
SK0412520195;Hankovce (Okres HumennÈ);47;59;154;146;24;71;2;0
SK0412520225;Hrabovec nad Laborcom;43;58;132;168;24;74;0;2
SK0412520233;Hrubov;38;111;150;111;20;41;0;7
SK0412520241;Hudcovce;34;35;83;143;18;75;0;7
SK0412520250;Rokytov pri Humennom;19;53;67;87;23;24;1;6
SK0412520268;Chlmec;64;85;149;168;33;83;0;6
SK0412520276;JabloÚ;21;64;76;103;24;62;38;4
SK0412520292;Jankovce;22;34;78;80;10;38;0;5
SK0412520331;Kamenica nad Cirochou;211;396;527;655;106;304;10;66
SK0412520349;Kamienka (Okres HumennÈ);44;82;155;140;33;64;1;7
SK0412520357;Karn·;50;149;104;100;16;30;3;6
SK0412520373;Kochanovce (Okres HumennÈ);59;106;186;228;31;118;1;8
SK0412520403;Koökovce;50;95;133;187;21;78;0;10
SK0412520446;Lieskovec (Okres HumennÈ);50;48;104;127;25;75;1;4
SK0412520454;ºubiöa;74;148;202;238;37;100;1;18
SK0412520462;LukaËovce;42;69;134;124;23;58;0;15
SK0412520497;Modra nad Cirochou;105;157;244;300;45;128;1;4
SK0412520501;Myslina;84;119;111;142;24;92;2;9
SK0412520527;Nechv·lova Polianka;1;14;25;23;2;6;1;2
SK0412520535;Niûn· Jablonka;15;50;36;27;3;4;0;12
SK0412520543;NiûnÈ LadiËkovce;35;36;97;92;22;38;1;7
SK0412520560;Ohradzany;61;89;147;202;32;95;0;5
